month,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,8.6,8.3,9,10.7,20,21.5,20.8,15.8,15.4,13.2
2,9.1,8.5,8.7,11.7,19.9,21.1,19.7,17.2,15.9,12.9
3,8.7,9.1,8.7,12.3,20.4,21.5,19.2,17.6,15.8,12
4,8.4,8.6,9.4,13.1,22.1,20.9,19.1,17.1,15.7,11.5
5,8.5,8.2,7.9,14.2,22.3,21.6,19.9,17.1,14.6,
6,7.3,7.7,9,17.2,25.2,22.4,20.4,17,13.8,
7,8,8.7,9.7,16,22.3,22,17.5,16.2,13.1,
8,8.4,8.8,9.7,16.3,21,22.4,18.4,16.5,12.9,
9,8,8.7,10.2,17.8,20.3,22,18.8,16.5,13.4,
10,7.9,8.4,10.4,18.9,21.2,20.6,19.9,16.3,13.6,
11,8.3,8.6,9.8,19.8,21,20.8,18.6,17.1,13,
12,7.5,8.4,10.5,20.1,21.9,20.5,17.7,17.3,12.9,
